molecule_chembl_id,kinase,IC50,units,canonical_smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
CHEMBL6059314,CDK4,1.0,nM,CC(C)N1CCc2ccc(Nc3ncc(F)c(-c4cc(F)c5c(c4)N(C(C)C)CCO5)n3)cc2C1,9.0,479.24966705200006,6,1,5.539100000000006,True
CHEMBL5095102,CDK6,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(C5CCN(C)CC5)cn4)ncc3F)cc21,9.0,480.24491602000006,7,1,4.976800000000004,True
CHEMBL5939007,CDK4,1.0,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCNCC5)c(F)c4)ncc3Cl)cc21,9.0,500.1902936040001,7,2,4.835600000000004,True
CHEMBL5266005,CDK2,1.0,nM,CCc1cnn2c(NCc3ccc[n+]([O-])c3)cc(N3CCCC[C@@H]3CCO)nc12,9.0,396.227374136,6,2,2.2785000000000006,True
CHEMBL5897984,CDK4,1.02,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@H]4CNCCO4)C5)ncc3F)cc2n1C(C)C,8.991399828238082,534.2667140840001,8,2,4.145920000000003,True
CHEMBL5964675,CDK4,1.02,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@H]4CNCCO4)C5)ncc3F)cc2n1C(C)(C)C,8.991399828238082,548.2823641480002,8,2,4.320020000000003,True
CHEMBL5787921,CDK4,1.06,nM,CN[C@H](C)C(=O)N1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C6CC6)c5c4)n3)ccc2C1,8.97469413473523,518.2354139560001,7,2,4.046020000000002,True
CHEMBL3694405,CDK9,1.08,nM,COc1ccccc1-c1cc(NC(=O)c2cccc(NS(C)(=O)=O)c2)ncn1,8.96657624451305,398.104876056,6,2,2.7760000000000007,True
CHEMBL5873158,CDK4,1.09,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCNC5)ncc3F)cc2n1C(C)(C)C,8.962573502059376,449.2139502400001,6,2,4.619220000000003,True
CHEMBL248712,CDK1,1.1,nM,CCNCc1cncc(-c2cnc3[nH]nc(-c4nc5cc(F)c(F)cc5[nH]4)c3c2)c1,8.958607314841775,405.15134998400003,5,3,3.9509000000000016,True
CHEMBL318999,CDK2,1.1,nM,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nc(OCC2CCCCC2)c1N=O,8.958607314841775,406.14232418399996,9,3,2.8068,True
CHEMBL6023260,CDK4,1.1,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCN(C(=O)CN(C)C)CC5)c(F)c4)ncc3F)cc21,8.958607314841775,569.2726079880001,8,1,4.121900000000004,True
CHEMBL3237704,CDK6,1.1,nM,CC1(C)CCC(n2c3cnccc3c3cnc(Nc4ccc(N5CCNCC5)cn4)nc32)CC1,8.958607314841775,456.2749930240001,7,2,4.669000000000003,True
CHEMBL5943325,CDK4,1.1,nM,CC(C)N1CCOc2c(F)cc(-c3nc(Nc4ccc(N5CCC(O)CC5)cn4)ncc3F)cc21,8.958607314841775,482.22418057600004,8,2,4.128700000000003,True
CHEMBL3698644,CDK6,1.1,nM,c1cc2c3cnc(Nc4cnc(N5CCNCC5)nc4)nc3n(C3CCCC3)c2cn1,8.958607314841775,415.2232918000001,8,2,3.0378000000000016,True
CHEMBL5201870,CDK2,1.1,nM,COCc1cc(C(=O)Nc2cc([C@H]3CC[C@@H](OC(=O)NC(C)C)C3)[nH]n2)n(C)n1,8.958607314841775,404.2172033760001,6,3,2.3125999999999998,True
CHEMBL5938059,CDK6,1.11,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN)C5)ncc3F)cc2n1C(C)(C)C,8.954677021213342,492.2561494000001,7,2,4.290320000000003,True
CHEMBL5950426,CDK4,1.12,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C(=O)N(C)CCN(C)C)C5)ncc3F)cc2n1C1CC1,8.950781977329818,561.2776131160001,7,1,4.524920000000004,True
CHEMBL5774473,CDK4,1.12,nM,C#CCN1CCC(N2CCc3nc(Nc4ncc(F)c(-c5cc(F)c6nc(C)n(C(C)C)c6c5)n4)ccc3C2)C1,8.950781977329818,542.2717994640001,7,1,4.865020000000004,True
CHEMBL4448494,CDK4,1.12,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C(C)C,8.950781977329818,506.2717994640001,7,1,4.719120000000004,True
CHEMBL5760424,CDK4,1.12,nM,C#CN1CCC(N2CCc3nc(Nc4ncc(F)c(-c5cc(F)c6nc(C)n(C(C)C)c6c5)n4)ccc3C2)C1,8.950781977329818,528.2561494,7,1,4.8225200000000035,True
CHEMBL5811976,CDK6,1.13,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CNCCO4)C5)ncc3F)cc2n1C(C)(C)C,8.94692155651658,548.2823641480002,8,2,4.320020000000003,True
CHEMBL5853767,CDK6,1.13,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CNCCO4)C5)ncc3F)cc2n1C(C)C,8.94692155651658,534.2667140840001,8,2,4.145920000000003,True
CHEMBL4466497,CDK4,1.13,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C(C)(C)C,8.94692155651658,520.2874495280001,7,1,4.893220000000005,True
CHEMBL5938059,CDK4,1.14,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN)C5)ncc3F)cc2n1C(C)(C)C,8.943095148663527,492.2561494000001,7,2,4.290320000000003,True
CHEMBL5774332,CDK4,1.16,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CN(C)CCO4)C5)ncc3F)cc2n1C(C)(C)C,8.935542010773082,562.2980142120001,8,1,4.662220000000004,True
CHEMBL6020156,CDK4,1.18,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C/C=N/O)C5)ncc3F)cc2n1C(C)C,8.928117992693874,492.21976389200006,8,2,4.617520000000003,True
