molecule_chembl_id,kinase,IC50,units,canonical_smiles,pIC50
CHEMBL5811976,CDK6,1.13,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CNCCO4)C5)ncc3F)cc2n1C(C)(C)C,8.94692155651658
CHEMBL5853767,CDK6,1.13,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CNCCO4)C5)ncc3F)cc2n1C(C)C,8.94692155651658
CHEMBL4466497,CDK4,1.13,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)C)C5)ncc3F)cc2n1C(C)(C)C,8.94692155651658
CHEMBL5938059,CDK4,1.14,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN)C5)ncc3F)cc2n1C(C)(C)C,8.943095148663527
CHEMBL5774332,CDK4,1.16,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C[C@@H]4CN(C)CCO4)C5)ncc3F)cc2n1C(C)(C)C,8.935542010773082
CHEMBL5911327,CDK4,1.16,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCCN(C)C)C5)ncc3F)cc2n1C(C)(C)C,8.935542010773082
CHEMBL6020156,CDK4,1.18,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(C/C=N/O)C5)ncc3F)cc2n1C(C)C,8.928117992693874
CHEMBL5939038,CDK6,1.19,nM,CN(C)[C@H]1CCN(C(=O)c2ccc(Nc3ncc(F)c(-c4cc(F)c5nc6n(c5c4)C(C)(C)CC6)n3)nc2)C1,8.924453038607469
CHEMBL3702046,CDK4,1.2,nM,CC(C)N1CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nc2)CC1,8.920818753952375
CHEMBL5190225,CDK4,1.2,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc(CNC(=O)CCCCCCC(=O)NO)cc4)ncc3F)cc2n1C(C)C,8.920818753952375
CHEMBL4866341,CDK4,1.2,nM,Cc1nc2ccc(-c3nc(Nc4ccc(NC(=O)CCCCCC(=O)NO)cc4)ncc3F)cc2n1C(C)C,8.920818753952375
CHEMBL411224,CDK2,1.2,nM,CC(C)Cc1cccc2c1/C(=N/Nc1ccc(S(N)(=O)=O)cc1)C(=O)N2,8.920818753952375
CHEMBL3698672,CDK6,1.2,nM,c1ccc2c(c1)c1cnc(Nc3ccc(N4CCNCC4)cn3)nc1n2C1CCCC1,8.920818753952375
CHEMBL3237702,CDK4,1.2,nM,CC1CCC(n2c3cnccc3c3cnc(Nc4ccc(N5CCNCC5)cn4)nc32)CC1,8.920818753952375
CHEMBL5220945,CDK4,1.2,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc(CNC(=O)CC(=O)NO)cc4)ncc3F)cc2n1C(C)C,8.920818753952375
CHEMBL3694403,CDK9,1.25,nM,COc1ccccc1-c1cc(NC(=O)c2ccc(NS(C)(=O)=O)cc2)ncn1,8.903089986991944
CHEMBL6152892,CDK9,1.26,nM,CCOc1ccc(C2C(C#N)=C(N)OC3C2C(C)=NN3c2ccc(Cl)cc2)cc1,8.899629454882437
CHEMBL5983466,CDK4,1.27,nM,Cc1nc2c(F)cc(-c3nc(Nc4ccc5c(n4)CCN(CCN(C)CCN(C)C)C5)ncc3F)cc2n1C(C)(C)C,8.896196279044043
CHEMBL5933703,CDK6,1.28,nM,CNCCN1CCc2nc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C6(C)CC6)c5c4)n3)ccc2C1,8.892790030352131
CHEMBL3642002,CDK4,1.3,nM,OC[C@H](O)CNC1CCN(c2ccc(Nc3ncc4c5ccncc5n(C5CCCC5)c4n3)nn2)CC1,8.886056647693163
